node_1|node_2|edge|chunk_id
dark pattern|deceptive design pattern|Both terms refer to user interface designs that manipulate users into taking unwanted actions, such as buying overpriced insurance or signing up for recurring bills. Harry Brignull coined the term 'dark patterns' in 2010 with the aim of naming and shaming deceptive user interfaces.|cb83801d4b1a4ae58d11e2bd221b19d0
user experience designer|harry brignull|Harry Brignull is a user experience designer who coined the term 'dark patterns' in 2010 to describe deceptive design patterns.|cb83801d4b1a4ae58d11e2bd221b19d0
privacy zuckering|mark zuckerberg|Privacy Zuckering refers to a practice of tricking users into sharing more information than they intend to. This is often accomplished through practices that obscure or delay the option to opt out of sharing private information, and is associated with Facebook CEO Mark Zuckerberg.|cb83801d4b1a4ae58d11e2bd221b19d0
bait-and-switch|advertised product|Bait-and-switch patterns involve advertising a free or discounted product that is unavailable or stocked in small quantities. After announcing the product's unavailability, users are presented with similar products of higher prices or lesser quality.|cb83801d4b1a4ae58d11e2bd221b19d0
california consumer privacy act|businesses in california|The California Consumer Privacy Act limits the practice of Privacy Zuckering by businesses operating in California.|cb83801d4b1a4ae58d11e2bd221b19d0
misdirection|username and password|Some websites that ask for information that is not required also use misdirection. For example, one would fill out a username and password on one page, and after clicking the ‘next’ button, the page asks the user for their email address with another ‘next’ button as the only option.|9e0ac08885c446d6b474efee65d3ebc7
misdirection|i accept these terms|Common in software installers, misdirection presents the user with a button in the fashion of a typical continuation button. A dark pattern would show a prominent ‘I accept these terms’ button asking the user to accept the terms of a program unrelated to the one they are trying to install.|9e0ac08885c446d6b474efee65d3ebc7
confirmshaming|email newsletter|Confirmshaming uses shame to drive users to act. For example, when websites word an option to decline an email newsletter in a way that shames visitors into accepting.|9e0ac08885c446d6b474efee65d3ebc7
unavailability|similar products|After announcing the product’s unavailability , the page presents similar products of higher prices or lesser quality .|9e0ac08885c446d6b474efee65d3ebc7
dark patterns|tricking consumers|Dark patterns are used to trick consumers into signing up for subscriptions or making it difficult to cancel. This can include examples like Roach motel designs, which provide an easy path to get in but a difficult path to get out, such as businesses requiring subscribers to print and mail their opt-out or cancellation request.|c1fc87ea98e9459ba753b90efb9d2060
don't not sell my personal information|formally accepting an option|Confusing wording may be used to trick users into formally accepting an option which they believe has the opposite meaning, such as a personal data processing consent button using a double-negative like 'don't not sell my personal information'.|c1fc87ea98e9459ba753b90efb9d2060
2020 united states presidential election|donald trump's winred campaign|During the 2020 United States presidential election, Donald Trump’s WinRed campaign employed a similar dark pattern, pushing users towards committing to a recurring monthly donation.|c1fc87ea98e9459ba753b90efb9d2060
ftc|ramping up enforcement against dark patterns|In 2021, in the United States, the FTC (Federal Trade Commission) has announced they will ramp up enforcement against dark patterns like Roach motel that trick consumers into signing up for subscriptions or making it difficult to cancel.|c1fc87ea98e9459ba753b90efb9d2060
businesses|subscribers|Examples include businesses that require subscribers to print and mail their opt-out or cancellation request, which provides an easy path to get in but a diﬀicult path to get out.|c1fc87ea98e9459ba753b90efb9d2060
ftc|key requirements related to information transmission|The FTC (Federal Trade Commission) has stated key requirements related to information transmission, such as providing clear and conspicuous information about the product or service, making it easy for consumers to cancel or terminate subscriptions, and avoiding using confusing or misleading language.|c1fc87ea98e9459ba753b90efb9d2060
gdpr|deceptive user interfaces|In a 2020 study, it was found that 'big tech' companies often used deceptive user interfaces to discourage their users from opting out of collecting and using personally identifiable information, which goes against the requirement of obtaining unambiguous, freely-given consent under the European Union General Data Protection Regulation (GDPR).|67e363c17ff04bc98feae25a2118f974
european commission|dark patterns|According to a report by the European Commission in 2022, 97% of the most popular websites and apps used by EU consumers deployed at least one dark pattern.|67e363c17ff04bc98feae25a2118f974
research (april 2022)|dark patterns|A study conducted in April 2022 found that dark patterns are still commonly used in the marketplace, highlighting a need for further scrutiny of such practices by the public, researchers, and regulators.|67e363c17ff04bc98feae25a2118f974
ftc|information transparency and clarity|The FTC has stated key requirements related to information transparency and clarity in relation to cancelation.|67e363c17ff04bc98feae25a2118f974
research (2019)|dark patterns|A 2019 study investigated practices on 11,000 shopping web sites and identified 1818 dark patterns in total, grouped into 15 categories.|67e363c17ff04bc98feae25a2118f974
norwegian consumer council|deceptive user interface designs|In 2018 the Norwegian Consumer Council (Forbrukerrådet) published 'Deceived by Design,' a report on deceptive user interface designs of Facebook, Google and Microsoft.|67e363c17ff04bc98feae25a2118f974
research (2016 and 2017)|social media anti-privacy practices|Research conducted in 2016 and 2017 documented social media anti-privacy practices using dark patterns.|67e363c17ff04bc98feae25a2118f974
